,Count,param,ground_state,nbarx,cost
44,45,"[2.44468754e+01 5.61958083e-01 3.49852939e-02 2.99211848e+01
 3.92409436e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8273453093812375,0.288,-5.791907514450867
45,46,"[2.65013828e+01 5.31597765e-01 1.00000000e-02 3.11747611e+01
 4.07378063e+01 9.94530237e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8393213572854291,0.23647294589178355,-6.223602484472049
46,47,"[41.21083458  0.54677298  0.2385394  33.22446958 16.9590862   0.14657319
  0.15504373  0.35228079  0.80566681]",0.016966067864271458,19.964285714285715,-1.017258883248731
47,48,"[2.59565430e+01 5.22942947e-01 1.00000000e-02 3.02503599e+01
 3.89658906e+01 1.00000000e+00 1.00000000e+00 9.57259921e-01
 1.00000000e+00]",0.8512974051896207,0.178,-6.724832214765098
48,49,"[2.42097227e+01 5.09939254e-01 1.00000000e-02 3.09610011e+01
 3.74840579e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8353293413173652,0.218,-6.072727272727272
49,50,"[2.55119188e+01 5.12731998e-01 1.00000000e-02 2.96171316e+01
 3.92126892e+01 1.00000000e+00 1.00000000e+00 9.46995074e-01
 1.00000000e+00]",0.8712574850299402,0.162,-7.7674418604651185
50,51,"[22.88116543  0.28358615  0.71787295 30.05231045 43.57810196  0.38878851
  0.76660453  0.04671472  0.51674838]",0.05089820359281438,38.14081632653061,-1.053627760252366
51,52,"[2.70646801e+01 5.02687703e-01 1.00000000e-02 2.85111599e+01
 4.20218673e+01 1.00000000e+00 1.00000000e+00 9.92661382e-01
 1.00000000e+00]",0.8812375249500998,0.184,-8.42016806722689
52,53,"[2.61985555e+01 5.98110949e-01 1.00000000e-02 3.04344759e+01
 3.94314688e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8772455089820359,0.162,-8.146341463414632
53,54,"[2.75881643e+01 5.52682047e-01 1.00000000e-02 2.69218124e+01
 4.18393672e+01 1.00000000e+00 1.00000000e+00 9.29934146e-01
 1.00000000e+00]",0.845309381237525,0.274,-6.464516129032259
