,i,Seq,ground_state,cost
16,19,2221323122213231222132312221323122213231221212112112113111113421243111113535113111241421111121311131211114351135113431321133112521312511312113321211341114123315311122211424113111142123153325312511213112131221111512321112211132113231112411211335312315213221331121311131251121111211,0.6297405189620758,-2.700808625336927
17,20,222132312221323122213231222132312221323122121211211211311111342124311111353511311124142111112131113121111435113511343132113311252131251131211332121134111412331531112221142411311114212315332531251121311213122111151232111221113211323111241121133531231521322133112131113125112111121113351215111122,0.6217564870259482,-2.6437994722955147
18,21,22213231222132312221323122213231222132312212121121121131111134212431111135351131112414211111213111312111143511351134313211331125213125113121133212113411141233153111222114241131111421231533253125112131121312211115123211122111321132311124112113353123152132213311213111312511211112111335121511112221143421313211,0.6457085828343313,-2.8225352112676054
19,22,2221323122213231222132312221323122213231221212112112113111113421243111113535113111241421111121311131211114351135113431321133112521312511312113321211341114123315311122211424113111142123153325312511213112131221111512321112211132113231112411211335312315213221331121311131251121111211133512151111222114342131321111121413123431,0.6097804391217565,-2.5626598465473145
20,23,222132312221323122213231222132312221323122121211211211311111342124311111353511311124142111112131113121111435113511343132113311252131251131211332121134111412331531112221142411311114212315332531251121311213122111151232111221113211323111241121133531231521322133112131113125112111121113351215111122211434213132111112141312343133322125141111,0.6197604790419161,-2.6299212598425195
21,24,22213231222132312221323122213231222132312212121121121131111134212431111135351131112414211111213111312111143511351134313211331125213125113121133212113411141233153111222114241131111421231533253125112131121312211115123211122111321132311124112113353123152132213311213111312511211112111335121511112221143421313211111214131234313332212514111125312231112132,0.6996007984031936,-3.328903654485049
22,25,2221323122213231222132312221323122213231221212112112113111113421243111113535113111241421111121311131211114351135113431321133112521312511312113321211341114123315311122211424113111142123153325312511213112131221111512321112211132113231112411211335312315213221331121311131251121111211133512151111222114342131321111121413123431333221251411112531223111213211222114331111,0.6716566866267466,-3.045592705167174
23,26,222132312221323122213231222132312221323122121211211211311111342124311111353511311124142111112131113121111435113511343132113311252131251131211332121134111412331531112221142411311114212315332531251121311213122111151232111221113211323111241121133531231521322133112131113125112111121113351215111122211434213132111112141312343133322125141111253122311121321122211433111132311121121114,0.6457085828343313,-2.8225352112676054
24,27,22213231222132312221323122213231222132312212121121121131111134212431111135351131112414211111213111312111143511351134313211331125213125113121133212113411141233153111222114241131111421231533253125112131121312211115123211122111321132311124112113353123152132213311213111312511211112111335121511112221143421313211111214131234313332212514111125312231112132112221143311113231112112111434151131151121,0.6836327345309382,-3.1608832807570986
25,28,2221323122213231222132312221323122213231221212112112113111113421243111113535113111241421111121311131211114351135113431321133112521312511312113321211341114123315311122211424113111142123153325312511213112131221111512321112211132113231112411211335312315213221331121311131251121111211133512151111222114342131321111121413123431333221251411112531223111213211222114331111323111211211143415113115112121113231113111,0.7295409181636726,-3.6974169741697414
26,29,222132312221323122213231222132312221323122121211211211311111342124311111353511311124142111112131113121111435113511343132113311252131251131211332121134111412331531112221142411311114212315332531251121311213122111151232111221113211323111241121133531231521322133112131113125112111121113351215111122211434213132111112141312343133322125141111253122311121321122211433111132311121121114341511311511212111323111311121323135342211,0.7335329341317365,-3.7528089887640443
27,30,22213231222132312221323122213231222132312212121121121131111134212431111135351131112414211111213111312111143511351134313211331125213125113121133212113411141233153111222114241131111421231533253125112131121312211115123211122111321132311124112113353123152132213311213111312511211112111335121511112221143421313211111214131234313332212514111125312231112132112221143311113231112112111434151131151121211132311131112132313534221125212125113114,0.7215568862275449,-3.591397849462365
28,31,2221323122213231222132312221323122213231221212112112113111113421243111113535113111241421111121311131211114351135113431321133112521312511312113321211341114123315311122211424113111142123153325312511213112131221111512321112211132113231112411211335312315213221331121311131251121111211133512151111222114342131321111121413123431333221251411112531223111213211222114331111323111211211143415113115112121113231113111213231353422112521212511311412252112131211,0.7295409181636726,-3.6974169741697414
29,32,222132312221323122213231222132312221323122121211211211311111342124311111353511311124142111112131113121111435113511343132113311252131251131211332121134111412331531112221142411311114212315332531251121311213122111151232111221113211323111241121133531231521322133112131113125112111121113351215111122211434213132111112141312343133322125141111253122311121321122211433111132311121121114341511311511212111323111311121323135342211252121251131141225211213121112132221112331,0.7455089820359282,-3.929411764705883
